,gender,customer_type,fio,login
0,Female,1,Deborah Cruz,gdavid
1,Male,1,Brian Garcia,jonesrachel
2,Male,2,Phillip Johnston,briangallegos
3,Female,2,Lisa Jones,glovermelissa
4,Female,1,Michelle Hammond,john32
5,Female,2,Angela Munoz,delgadodebra
6,Female,1,Jenna Jackson,jeffreyjohnson
7,Female,1,Stephanie Gomez,zruiz
8,Male,2,Daniel Knox,scottashley
9,Female,1,Tasha Ellis,alex29
10,Male,1,Christopher Parker,cookwhitney
11,Female,2,Tiffany Elliott,ashley45
12,Female,2,Linda Powell,evansbarbara
13,Female,1,Sheena Fuentes,ericmiller
14,Female,1,Suzanne Parsons,jesusnguyen
15,Male,2,John Smith,thomasgates
16,Male,2,Lucas James,wellsrobert
17,Male,2,Justin Anderson,amandahull
18,Female,1,Lisa Young,benjamin44
19,Female,2,Laura Smith,kyle30
20,Female,1,Veronica Carpenter,nboyd
21,Female,1,Michele Atkins,ccobb
22,Male,1,Steven Levine,justin80
23,Male,2,Ricky Wagner,lrodriguez
24,Male,2,Jacob Turner,billy21
25,Male,1,Christopher Huffman,stefaniemccormick
26,Male,2,Charles Riley,srodriguez
27,Male,1,Anthony Phillips,rknapp
28,Male,2,Steven Cooper,christopher56
29,Female,2,Angela Howe,dconner
30,Female,1,Madison Lopez,jasonenglish
31,Female,2,Tiffany Cochran,pamela88
32,Female,2,Nicole Payne,richard78
33,Male,1,David Williams,kenneth80
34,Male,2,Robert Cantrell,davidhall
35,Male,2,Norman Miller,jordan57
36,Male,2,David King,mrussell
37,Male,1,Travis Dixon,shannonlevy
38,Male,2,Stephen Snyder,victoria74
39,Female,1,Beverly Mcdonald,gdunn
40,Male,2,Robert Holland,bhowell
41,Female,2,Susan Anderson,thomas68
42,Female,1,Anita Torres,wmosley
43,Female,2,Jordan Velez,xfletcher
44,Female,2,Samantha Jordan,michaelmedina
45,Female,1,Heather Hampton,johnsonvictor
46,Male,1,Benjamin Kelly,john64
47,Female,1,Jamie Taylor,heidifuller
48,Female,1,Stephanie Riley,brucewright
49,Male,2,Justin Glass,jamespeterson
50,Male,1,Christian Moore,veronicawilliams
51,Female,2,Christy Kim,wusara
52,Male,2,Dennis Moses,susanwashington
53,Female,1,Christina Greene,ashleysanchez
54,Male,2,Eric Saunders,jamiewebb
55,Male,2,Larry Ramirez,meyersamantha
56,Male,2,David Davis,smithcarolyn
57,Female,2,Melissa Page,vmorales
58,Female,1,Erika Love,maria03
59,Male,2,Francisco Mullins,heidi03
60,Female,2,Annette Butler,browndaniel
61,Female,1,Katrina Morales,briancollins
62,Male,2,David Williams,xglover
63,Female,2,Amber Hansen,vvega
64,Female,2,Donna Hogan,evan41
65,Male,1,Sean Santiago,youngchristina
66,Female,1,Brittany Delgado,shawncruz
67,Female,2,Jessica Taylor,frosttracy
68,Female,1,Donna Jordan,matthewlopez
69,Female,2,Jennifer Stephenson,keith08
70,Male,1,Christopher Yang,william57
71,Female,2,Cynthia Reyes,lparker
72,Female,2,Lauren Collins,josephbecker
73,Male,1,Ryan Dorsey,lorilee
74,Female,2,Tina Smith,thomasallison
75,Male,2,Eric Garcia,bellbrian
76,Female,2,Maria Perry,allisonmartin
77,Male,2,Darrell Lester II,jacobmiller
78,Female,2,Morgan Freeman,anthonyrodriguez
79,Female,2,Melissa Bennett,katherine75
80,Female,1,Pamela Robinson,julialarson
81,Male,2,Blake Butler,econtreras
82,Male,1,Dr. Christopher Wyatt,umedina
83,Female,2,Tammie Obrien,benjamin50
84,Male,1,Timothy Bennett,albert60
85,Male,2,Joseph Novak,fergusonshelley
86,Male,1,Mark Maddox,xsimon
87,Female,2,Michelle Mann,janderson
88,Male,2,Gregory Bradshaw,nicole44
89,Female,2,Susan Martinez DVM,rrodriguez
90,Male,2,Eric Diaz,katherinepatterson
91,Female,2,Sharon Smith,cassidykim
92,Female,2,Tricia Brown,spencerjustin
93,Female,2,Renee Rodgers,escobaramanda
94,Male,1,Edward Rodriguez,george40
95,Female,2,Brianna Clark,stephenking
96,Female,2,Sarah Pope,xanderson
97,Female,2,Katelyn Russo,william10
98,Female,2,Tanya Roman,orojas
99,Female,2,Rachel Curry,whitepaul
100,Male,1,Christopher Solomon,stacy49
101,Male,2,Ronald Jennings,briannalindsey
102,Female,2,Nancy Powell,jane25
103,Female,2,Carly Owen,earl37
104,Female,1,Ashley Ortega,ibarrayesenia
105,Male,2,John Davis,alisonmaxwell
106,Female,1,Laura King,jonathanscott
107,Female,1,Deborah Phillips,tracylamb
108,Male,2,Jeremy Alexander,susanwells
109,Female,1,Connie Reeves,sarahboyd
110,Female,2,Debbie Hunter,gwhite
111,Female,1,Christine Mcgee,kevinballard
112,Female,2,Joanne Bradshaw,charlesnorman
113,Female,2,Amy Austin,brenda69
114,Female,1,Lisa Reynolds,curtis66
115,Female,2,Sara Carter,vkent
116,Female,1,Traci Fowler,caseyroach
117,Male,2,David Moore,banksmichael
118,Male,2,David Long,garnerjessica
119,Female,1,Joanne Hebert,slittle
120,Female,2,Amanda Rivera,kristenmurphy
121,Female,2,Margaret Vega,vwhite
122,Female,2,Mariah Hanna,alec76
123,Female,2,Cheryl Anderson DVM,rhernandez
124,Male,2,Daniel Weaver,shariking
125,Female,2,Wanda Braun,whiteanthony
126,Male,1,Jesus Ramirez,millerjessica
127,Female,1,Robin Smith,mccormickjill
128,Female,2,Isabel Callahan,casey31
129,Male,1,Andrew Webb,vincent44
130,Male,1,Steven Moore,vbush
131,Female,1,Mary Navarro,joneshenry
132,Male,2,Kevin Simmons,derrick05
133,Female,1,Amy Zimmerman,roberta07
134,Female,2,Paula Chandler,erinenglish
135,Male,2,Nathaniel White,warrenbarbara
136,Female,2,Savannah Oconnell,zacharyanthony
137,Female,2,Sarah Martinez DDS,rachel09
138,Female,2,Kimberly Thomas,williecarney
139,Male,1,Nicholas Allen DDS,gonzalezjennifer
140,Female,2,Chelsea Taylor,erin57
141,Male,2,Kevin Gaines,crogers
142,Female,2,Kathleen Scott,gbrown
143,Female,1,Suzanne Jones,bwu
144,Female,2,Heather Ford,laura14
145,Female,2,Rachel White,michaeldecker
146,Male,1,Michael Robinson,sydneyhall
147,Male,2,Andre Williams,nicole50
148,Female,2,Natalie Williams,fmurray
149,Male,1,Jon Steele,jonescourtney
150,Male,2,Jeffrey Harris,xchen
151,Female,2,Wendy Mcknight,jason81
152,Male,2,Ryan Jackson,bryantmark
153,Male,2,Justin Hunter,whanson
154,Male,2,James Gordon,vaughnsheri
155,Male,1,Aaron Smith,harrisfred
156,Female,2,Melissa Porter,manuel40
157,Female,2,Alyssa Chambers,nelsongregory
158,Female,1,Charlene Bautista,grogers
159,Female,1,Lisa Mullen,bmartin
160,Female,1,Colleen Shepard,spencercarlos
161,Male,2,Zachary Anthony,melissapeck
162,Female,2,Sarah Wright,amyallen
163,Male,1,Juan Herrera,ofischer
164,Male,1,Anthony Carter,mosleysheila
165,Male,1,Benjamin Thompson,sheltonemma
166,Male,1,John Anthony,beckerjeremiah
167,Female,2,Maria Mcgee,kimberlyyoung
168,Female,2,Karen Jenkins,howarddestiny
169,Male,2,Dwayne Carter,latoya71
170,Male,1,Todd Schneider,rebeccawhite
171,Male,2,Andre Walls,taylor19
172,Female,1,Michelle Jimenez,nelsondawn
173,Female,1,Kelly Thomas,deborahshepard
174,Male,2,Alexander Hensley,johnnystephens
175,Male,2,Robert Williams,andrewsmith
176,Female,1,Latoya Alexander,sloanrichard
177,Female,2,Dominique Miller,jwhite
178,Female,2,Sandra French,joseph55
179,Male,2,Frank Moore,genglish
180,Male,1,Nathan Howe,nhurley
181,Male,1,Tony Roberts,taylorjennifer
182,Male,1,James Graham,ramirezvictoria
183,Male,2,Joseph Weaver,sheilanolan
184,Male,2,Brad James,wallaceannette
185,Male,1,Brian Nguyen,monicapacheco
186,Female,1,Natasha Robinson,nphillips
187,Female,2,Pam Lara,hsavage
188,Male,1,James Booth,urobinson
189,Female,2,Sylvia Guerrero,geoffreywall
190,Female,1,Megan Kelly,williamerickson
191,Female,1,Sarah Baker,melissajohnson
192,Female,1,Pamela Myers,iperez
193,Female,1,Lisa Phillips,harrymcdaniel
194,Male,1,Frank Garcia,kristinwhite
195,Male,2,Paul Wolf,gabrielavelazquez
196,Male,2,Michael Flores,mariowilson
197,Female,2,Laura Warren,anthony47
198,Female,2,Annette Jackson,matthewlyons
199,Female,1,Kristine Wheeler,rknight
200,Male,2,William Ellis,thomas74
201,Male,1,Timothy Lyons,emilykelly
202,Male,2,Sean Henry,mathismark
203,Male,2,Patrick Ellis,castrojacob
204,Male,1,Gregory Mckay,dsampson
205,Male,2,Robert Taylor,whitejennifer
206,Female,2,Laurie Williams,awilliams
207,Female,2,Kelly Silva,moralesvincent
208,Male,1,James Pena,lisa72
209,Female,1,Mary Aguilar,eyoung
210,Male,1,Brian Petty,hendersonross
211,Male,2,Dalton Harrington,zellis
212,Male,2,Jason Lamb,mmarshall
213,Female,1,Jennifer Maddox,marissa23
214,Female,2,Lauren Collins,sandersmark
215,Female,1,Amanda Shepherd,holtkaitlyn
216,Male,1,Ryan Solis,victor84
217,Male,2,John Fox,davidcamacho
218,Male,1,Calvin Campbell,kathrynmiller
219,Female,2,Ashley Farmer,michael24
220,Male,1,Brian Walsh,rmay
221,Female,2,Sandra Arnold,oevans
222,Male,1,Michael Durham,mark42
223,Female,2,Susan Phillips,megan18
